size,uniform_mean,uniform_std,sensitivity_mean,sensitivity_std,bilevel_mean,bilevel_std
20,1.0963645390893924,0.3558481716500687,1.0407233082474059,0.17500365925009645,1.215994236171375,0.12330247859856175
30,0.4095885051097579,0.15049814577490814,0.4617395398361033,0.16292425073307817,0.25405560981322617,0.010966291901385396
40,0.24398760338896378,0.05875908543792674,0.17042824032556672,0.06127817990180443,0.13857179269640518,0.04614405408461969
50,0.15624706147116527,0.03129954835455752,0.17011459042870083,0.08163472736904953,0.06293729364892649,0.009603851478674787
60,0.12843637073800937,0.015284141041362685,0.14116083623822875,0.06250279038651366,0.06338469814562459,0.00506937389035603
70,0.10839897994908726,0.02117204021901306,0.09807517758727452,0.007960728876224194,0.03182523604752644,0.0023634633772316514
80,0.08191626030580162,0.020334152486669727,0.07532986956871365,0.009808180935282726,0.028294427366091394,0.009685603173756437
90,0.07623876258355383,0.026252483253405567,0.04996066732118546,0.00814595630944094,0.026813219318543594,0.004661536631702479
100,0.057729524778911585,0.01989542184718558,0.04717145414740601,0.0026282930910410183,0.01822753515594684,0.0044765442776995195
