size,uniform_mean,uniform_std,sensitivity_mean,sensitivity_std,bilevel_mean,bilevel_std
20,1.5341772423664908,0.7019781991453604,1.342280145035687,0.7648058768773931,1.8031770311325053,1.4706372421366056
30,0.5552682635816634,0.34479282074681905,0.3987666847205446,0.24147707215590858,0.21040564225471314,0.03236864371423809
40,0.25806320646066144,0.16167749339044782,0.14625538129311763,0.04609907686478021,0.13676219405016699,0.014072586614295187
50,0.17586173556179727,0.04832157194329599,0.09762167427914882,0.028292526953542972,0.06469071974706313,0.004576468057326894
60,0.11774840202750492,0.05138897868646949,0.0962569712991737,0.03180360820810245,0.05611862174914197,0.0033846236035532428
70,0.1089462709373748,0.06587058638430232,0.06658877660223174,0.010185167967983756,0.040681515388890796,0.002681080053480597
80,0.0900017410811458,0.06287235138574199,0.06123222676434647,0.02870967072011406,0.026880728018334677,0.004442943336217825
90,0.05988187834929178,0.043373705354875454,0.04361020147999284,0.0010713837615056072,0.02267313697112471,0.0050018876504554196
100,0.05211267359650243,0.034637413446365097,0.030196485089236867,0.005816311746374668,0.02096636612936853,0.0015831186076067799
